document_id,clean_text,Sentiment
79,"""Shang-Chi and the legend of The Ten Rings"" is a superhero origin story which seems more like a Chinese martial arts film than the next entrant in the Marvel Cinematic Universe (MCU). Many years ago I saw ""Crouching tiger, hidden dragon"" and found the fight scenes in that literally unbelievable a lot of the time. ""Shang-Chi"" often seems subtle in its fight scenes by comparison but then does have action sequences which are more like MCU superhero films. As an origin story, it assumes no familiarity with the MCU and in fact plays mostly as a non-MCU film, which is what I liked about it.Simu Liu plays Shang-Chi/Shaun, the son of a mobster, Xu Wenwu (played by Tony Leung) who could quite easily have been the subject of a film or franchise himself, due to his legendary characteristics. Shang-Chi's mother Ying Li (played by Fala Chen) is also a legendary kind of character. This contrast of 'Eastern' legendary figures and 'Western' MCU legendary figures worked to the former's advantage, as the latter often come across as plastic toy figurines being used in a sandpit by small boys to play with.The plot concerns how Shang-Chi/Shaun sought to move from under the shadow of his father to become his own man but just when he thought he was out, he is pulled back into Wenwu's orbit. The film mixes the seriousness, perhaps, of Chinese martial arts films with the jokey style of American Hollywood films. As should be expected from a MCU film, eventually the fate of the world will come into play and someone will have to play the hero to save it.The martial arts in this film juxtaposes frenetic fight sequences with elegant and fluid fight scenes which have their own particular charm. Other times the action sequences seem lifted from a Disney live action family film and that was enjoyable too, if you just suspended disbelief.Speaking of comedy, I found the earliest instance of this to be aiming very low for laughs, which isn't uncommon in MCU films but I warmed to later instances of it. For instance, I was amused by the character of a thespian who sounded like he was from Liverpool, when he reminisced about what he took from a film that he saw as a teenager and how that inspired him to get into acting. That actor playing the thespian did seem familiar, perhaps for his voice but I did recognise his name in the closing credits and remembered the role that he is perhaps best known for.An interesting aspect to this film is its subject matter, i.e. An Asian superhero and a mostly Asian cast. Is this another attempt by Hollywood to crack the now important Chinese market? If it is, then the cooling relations between the US and China is an unwelcome fly in the ointment for Hollywood studios trying to make a lot of money from Chinese cinemagoers.Another question that came into my mind was whether ""The Ten Rings"" is based on Chinese legend or is a Marvel appropriation of Chinese culture, tailored for 'Western' audiences that don't care about cultural authenticity. If it isn't the former, then I think that there could be a niche for films which mine authentic 'Eastern' legends and myths. That could be something which might interest me (Sinophiles would no doubt reel out a long list of films which have done just that!).As you might have guessed, I wasn't the first in line to see this film. In fact, I wasn't even sure that I wanted to see it, as I haven't watched every line of superhero films in the MCU (maybe I should watch ""The Black Panther""?). As it stands, I think it was worth the punt in seeing it. I'd go so far as to say that seeing a sequel to this would be more appealing if it wasn't tied to The Avengers franchise! Furthermore, I would have liked this film not to remind that it was part of the MCU, which it managed to do, at least until the closing credits, which I didn't welcome when it made its first appearance. With that being said, this is the kind of film that you could watch again, after a suitable break. Although I didn't watch this film in 3D, it might be worth it to do so (as sometimes the extra cost of the ticket gives added value to the experience and...sometimes it doesn't).Notes to self:* The narrative did have some logical gaps in it, for example why Shang-Chi was attacked on the bus. What was that all about?* The film was dedicated to the memory of Brad Allan, I think. Not sure who that was...searching now, a few websites list him as the supervising stunt coordinator.* Reading the closing credits, I was reminded that this film was shot in Australia, which isn't obvious watching it, so, good job studio (I think I saw or heard something on ABC in Australia about how Asian Australians got to be in this film, perhaps a kung fu exponent or exponents)!* My score for this film was tracking from 75% (7 out of 10 stars) to 75+% (8 out 10 stars) to just a flat 80% final score.",negative
80,"Shang-Chi is one of those Marvel films that feels like the full package. It has lots of brilliant trademark MCU humour and tongue in cheek quips. It has exceptional action which I'll get into a bit more. It also has solid connections to the rest of the MCU, balanced well between being its own stand alone film but laying hints of how this is going to fit into the wider story of Phase 4.I'll start with the action as this is what Shang-Chi is famed for. Quite simply it's awesome. It has the best hand to hand combat the MCU has seen, and sequences that are steeped in Chinese culture, with the rhythmic style of Crouching Tiger Hidden Dragon woven into the fabric of this film.The cast was brilliant. Simu Liu was a fantastic lead, and I'd be happy to see him grow into a big player in the MCU. Awkwafina as expected was fantastic, adding so much effortless humour to the film.What I really love about Shang-Chi is that it has a very well explored and interesting antagonist. This can't always be said for Marvel films as there have been a few phoned in villains, but Shang-Chi doesn't come close to falling into this trap. Tony Leung really sold his role and gave it a lot of power and emotion.In terms of plot they did a fantastic job of introducing us to this pretty obscure character. There is a lot of exposition and plenty of flashbacks, perhaps too many but I appreciate they had a lot of background content to feed us so I can't grumble too much. I loved how the plot was so mystical and magical, very much feeling like an epic adventure.Yet again Marvel Studios knocking it out of the park!",negative
81,"One of the best origin MCU films. Good story, great and complex family relationships, with it's own identity, a very good balance between action and comedy and really good fight scenes. Between Simu Liu, Awkwafina and Tony Leung it's difficult to decide which was the best, but the acting was really strong all around (also a mention to Ben Kingsley, always funny!). The best thing I can say about it is that for most of it's duration it didn't even feel like an MCU film.The negatives? Again, too much CGI. It's a huge problem with Marvel and Disney as they use the green screen in almost every scene. I like CGI but seriously, some scenes would look much better with practical effects, others would look way better if they just were shot at location.",positive
82,Best superhero movie ever made. Shang Chi was epic on every level.,positive
83,"I got to admit I wasn't particularly blown away by anything in the movie.. I might even say ""I was bored"" by it.Don't get me wrong.. it IS a spectacle! The action is great. The locations are nice, costume design, sound design, etc. But it is overall a soft release not worth seeing in theaters.. specially as a follow-up to what Endgame was.The biggest problem for me, is how the underwritten lead has muddled personality (for reasons covered in the story) devoid of charm, personality or good dialogue.The next issue is the humor, which didn't land for me.. Not once. The supporting lead Awkwafina isn't her normal ""loud"" self that's supposed to be funny every time she opens her mouth. Her role is very supportive and a little dramatic. And while I questioned myself why was she even there for, it doesn't ultimately matter. She is another forgettable character that is given more importance than the role deserves.Finally, the third act is weak. There's a balancing problem with stakes. You can't feel tension or weight to any action. And there's a lot of superficial ""I can't do it"" until they can.In the end, this feels like a very safe plot, written in a way to appeal to china (considering how the Mandarin is portrayed), that ends up appealing to no one specific. Certainly doesn't feel like a Marvel movie.. but it was bound to happen if we are to be introduced to different aspects of the narrative. But it also doesn't feel like a comic book. It's more generic than that.",negative
84,"Marvel's latest feature introduces cinephiles to Shaun AKA Shang-Chi (Simu Liu) a martial arts master and a character created by Steve Englehart and Jim Starlin, first appearing in a Marvel publication back in 1973. Beginning in the first of many gorgeously choreographed and shot sequences, we're introduced to Shang-Chi's father Xu Wenwu (Tony Chiu-Wai Leung) and mother Li (Fala Chen) also entailing the awesome power of the Ten Rings which Xu currently has in his possession. What follows is a heart-pounding and ridiculously entertaining adventure movie with true heart.Filled with beautiful performances not least from everyone already mentioned and including Awkwafina as Shaun's best friends Katy and Meng'er Zhang as sister Xialing, there's plenty here to adore on screen not even getting to the truly awe-inspiring action set pieces with the best fight scenes I've seen in recent memory. Cretton (Short Term 12, Just Mercy) is very quickly becoming one of my favourite directors having produced three incredible pieces of cinema in the last 8 years. It's great to see that his passion for storytelling and independent spirit still shines through his latest here while also staying true to the Marvel fan base (I really did not expect a certain character to show up but made for some really comical moments).The visual effects are of course stunning but what makes them stand out here are how they're incorporated with the beautiful landscapes to enhance the feeling of authentically experiencing Shaun's heritage and getting wrapped up in the culture that the filmmakers so wonderfully explore. This is how origin stories should be made! The creature design is also incredible and is an integral element to making the final sequences all the more breathtaking.Please do yourselves a favour and see this on the biggest screens possible, please support your local cinema and stay safe my friends.",positive
85,"One again the studio brings jokes and the dazzling visuals over a good character development. After one hour, you don't care for the characters. Dysfunctional drama in the family and the chosen one - we have seen this a million times.This is the first time I felt sleepy for an action movie. I feel like i wasted my money, despite availing the Super Tuesday offer. The Suicide Squad was far much better in terms of storyboard.Over-rated, like Black Panther
What's next - Shang-Chi: Origins?",negative
86,"Shang Chi and the legend of the ten rings
2021
12A
director: Destin Daniel Cretton
starring: Simu Liu, Awkwafina, Ben Kingsley, Tony Leung, Meng'er Zhang, Fala Chen, Michelle Yeoh, Wah Yeun, Florian Munteanu etcShang Chi (Simu Liu) the master of unarmed weaponry-based kung fu. Is forced to confront his past after being drawn into the ten rings organisation. Wow what a film Shang Chi was and one of the strongest additions to the MCU.My first few positives would be the character background and set up. As well as the fantastic cinematography, worldbuilding and action. As well as the likeable characters and performances. I really liked that the film went into the character background for the Mandarin and the mythology of the ten rings and how he got them, with an action packed and well explained opening sequence that set the tone for the film very well, offering something different from the MCU from the very first scene. I also thought the set up was strong, the film established Shang Chi and his life without his dad excellently, making you connect to the characters, but also did a great job at setting up the villain's intentions well and developing the plot nicely. The cinematography in this film had to be some of the most beautiful visuals I have seen from the MCU. There were so many beautifully shot scenes especially within the action scenes with mid or long shots where you could actually see what was happening. The colour grading and scope of the film was seriously impressive, I was in awe. I also thought the action was probably the strongest I have seen from the MCU. The action was incredibly choreographed, very entertaining, and incorporated Asian culture and kung fu and they were so well shot it was one of the films strongest elements. The worldbuilding was also very strong. This film introduced us to such a rich and beautiful new world, it was beautiful and well explained and really explored in a lot of detail but left more to be explored for the future. This film was like seeing Wakanda for the first time. The film had such likeable characters. Particularly with Shang Chi and Katy (Awkwafina) all of the new characters introduced were instantly likeable and I connected with them quickly. This was also helped by the fantastic Chemistry between the whole cast, everyone worked amazing together, especially Simu Liu and Awkwafina who were both amazing here, and did amazing performances. They both had loads of charm and charisma. Other cast standouts were Tony Leung, Ben Kingsley, Michelle Yeoh and Menger Zhang.My next few positives would be the humour and sound design. The family dynamic and character depth. As well as the fun cameos and Plot twists. The soundtrack for the film was also excellent, it gave the action scenes in particular an intense atmosphere and really elevated a lot of the scenes well. I really liked the family dynamic the film had. Having the villain be Shang Chi's father and his mother and sister be involved was a great idea. It made the film more personal to the characters and increased the stakes for the characters, they had a connection and the conflict between the different members of the family was very well written. This gave characters like Shang Chi and the Mandarin a lot more character depth. The mandarin was so crushed by his wife's death because she made him a good man, and his quest to find his wife really gave him some emotional depth, and Shang Chi's attempt to live a normal life and escape his father's shadow, but also look for his dads love and acceptance was really well handled, as well as his character decisions involving his sister and his regret over his mother gave his character a good amount of layers. The cameos in this film were a lot of fun, there was a few easter eggs sprinkled throughout but it still felt like its own film. But having Wong back was a great surprise and that was in the trailer so not a spoiler. I also thought the plot twists were strong. The twists involving the family's secrets and the new world were well executed, unexpected and added some great layers to the film, it never once got boring.I did have a few minor issues. The villain was underused going into the final act, there was a few issues with the creative decisions in the final act. And there was a slight overusage of flashbacks. I did find that the mandarin was taken out of a big chunk of the film in order to delay the final act and expand the story world more, it would have been nice for his character to be incorporated within the plot as a whole instead of being used for more flashbacks. I did find that there were too many flashbacks. A lot of them served the plot well and had purpose, but some of them felt unneeded and repetitive and were occasionally jarring. There were just a few creative decisions in the final act I wasn't fond of. There was some overusage of CGI that took me out of a couple of scenes, and there was a deux ex Machina with Katy that was slightly cheesy to me.My final few positives would be the set pieces. Great development to the plot and balance to the villain. As well as interesting elements, great dialogue, and a great final act. The films set locations were beautiful, they really captured the magic of the world as well as Asian culture, the representation for the Asian community in this film was excellent. The plot development was also excellent, the twists gave the film multiple layers to work with, and the different acts flowed well, with constant new elements being added to keep the film feeling fresh. I also thought the film did an excellent job at making the audience sympathise with the Mandarin but also making it clear he was still the villain, as the film showed what kind of man he used to be with his wife I understood him wanting to be reunited with her, but the film excellently balanced this with his cruel and controlling behaviour to make him one of the strongest villains I have seen in a while in the MCU. I also thought there was a lot of interesting elements to the story world. The world of Ta lo was fascinating, and the film went into great detail of the culture and the lives of the people living there which was fascinating. The dialogue was also great, raising great themes of acceptance, family and grief that was excellently told through the lines of dialogue that felt personal to the characters and were very well written. The final act was also amazing. They went all out with the visuals and action. In a thrilling, exciting and breath-taking final act that conclude the story and the character arcs excellently and setting up Chang Chi's future in the MCU very well.Overall, Shang Chi has a few structure issues and falls into some MCU tropes with the CGI in the final act. But this film was visually stunning, with some of the best worldbuilding and action from the MCU. With star making performances from Simu Liu and Awkwafina. Also, with amazing Asian representation. This has really taken the MCU in a different direction and is one of their strongest origin stories.Overall rating 92/100.",positive
87,"'Shang-Chi & the Legend of the Ten Rings' (or SCLTR?) feels like the proper start of MCU's phase 4, with a clear link forming to 'Doctor Strange in the Multiverse of Madness'. We're first introduced to what seems like a Chinese fairytale, as we follow Wenwu (Leung) and his millennium of power with 10 enchanted rings/bracelets. We then meet Li (Chen), who turns out to be the mum of Shang-Chi (Liu) & Xialing (Zhang).How the mystical realm of Ta Lo fits in and it's secrets aren't revealed until the third act, and after the intro, the film does well to show Shang-Chi & Katy (Awkwafina) living their somewhat unfulfilled lives in San Francisco, before the action starts to heat up when Shang-Chi goes looking for his sister. All the actors are very likeable, especially Leung, who does a great job of making sure Wenwu doesn't descend into a caricature of a bad guy, but truly feels like a misguided father. Some great cameos also round everything out and it's always great to see Michelle Yeoh.While a bit slow in some parts, the martial arts scenes and action near the end are great, without being overwhelming - certainly up there with 'Hero' & 'Crouching Tiger, Hidden Dragon'. Also a nice nod to 'Raya & the Last Dragon'! Nice ending and character arc for Shang-Chi - I look forward to seeing him find his place in the MCU.",positive
88,"After being burned by Mulan last year, I went into this film with very low expectations, but was delighted to find this movie was wonderful to watch. Tony Leung, as the misguided villain trying to resurrect his wife and Shaun's mother, is the breakout star here, and his storyline - along with Leung's acting - is so magnificent that it sort of overshadows the other characters, including Shaun. This film is exciting, yet also heartwarming.",negative
89,Without a doubt the best action sequences in a marvel film and the best action scenes too. One of the best marvel films also. A great story and great acting. Loved this film.,positive
90,"Shang-Chi and the Legend of the Ten Rings is a new superhero movie in the Marvel film series. The film is directed and written in part by Destin Daniel Cretton, the director of Short Term 12 and Just Mercy.The film is about Shaun (Simu Liu), who tries to put his past behind him and just wants to enjoy his life with his best friend Katy (Awkwafina). When the mysterious organization the Ten Rings finds Shaun, he is forced to confront his past after all. To do this, he must take his birth name Shang-Chi again, to protect Katy and his sister Xialing (Meng'er Zhang) from the actions of the Ten Rings and their leader Xu WenWu the Mandarin (Tony Chiu-Wai Leung) who is also Shaun. His father.This film is Marvel's first superhero film starring an Asian actor. Furthermore, with this film they also bring out the Asian culture and fighting styles well. For this they have used other movies like Crouching Tiger, Hidden Dragon as an example. Fans of this film can recognize moments that refer back to these films. They portray the fight scenes where characters fight each other with Asian fighting styles well and entertainingly. The art of the Asian fighting style is somewhat overshadowed when characters use more supernatural powers in the film. Fight scenes where this happens are less exciting and entertaining than scenes where characters fight each other in more normal ways.At one point, the film also feels like you're watching a live-action mix of the Asian animation shows Pokémon and Avatar: The Last Airbender. These scenes provide some extra comedy and are especially more entertaining for younger viewers. The movies and costumes of the film cast also help with the emergence of Asian culture in the film. The visual effects are also put to good use in the film. Except for a few scenes, it can be seen that they have used a green screen for the background, but fortunately this is not disturbing in the film. Creatures can also be returned before the start of the film. A bit redundant on a few action scenes with 3D effects in the film.The acting is well done by the film cast. Simu Liu took to Twitter to ask Marvel to play the part, with both parties quickly making a good deal. Simu Liu comes across as good and charismatic as the lead of the film and further conveys the action sequences beautifully. Along with Awkwafina, he also has good chemistry in the film and together provide good appropriate humor. The comedy also doesn't overshadow all the dramatic aspects in the film, which sometimes does happen. Tony Chiu-Wai Leung also portrays the villain of the film in a good and sympathetic way, so that as a viewer you understand why he does what he is doing to me. This film is also only his first English-language role in an American film. Although this is only his first time, he still delivers good and appropriate acting. Meng'er Zhang does not get that much time in the film, but a bit less good or present in the film.",positive
91,Good entertaining and Bollywood like. It is loaded with action. Preferably watch on the biggest screen available.,positive
92,"Let's agree that it is a bad movie from multiple points of view. It depends a lot on the visual effects, its main characters can be funny but not nice, the story does not generate much interest and we have seen the fights many times and in a better way in almost any film produced in Hong Kong, Indonesia or Thailand of the last twenty years. The only thing that saves this film is the karaoke scene that is unexpectedly welcome. The rest is routine, mediocre, tiring and bland.",negative
93,"I thought this film was a good break from the usual marvel super hero films, it was much more traditional martial arts film combined with some modern aspects.The concept was good and the film went along at a great pace. There was some good humour as well.I would really recommend it.",positive
94,"When the movie first started... I felt like I was watching a ""foreign"" film. No English just Chinese with English subtitle? Didn't know what to expect in this movie. Then later on, the casts started speaking English & the awesome fighting scenes kicked in. OMG!! How exciting~ The fighting choreography was unbelievable. Just as good as Jackie Chan movies!The storyline was alright but the CG was very good. They used lots of Chinese culture tradition, costume & symbols. Looking forward to see the next sequel.",negative
95,"""Shang-Chi and the Legend of the Ten Rings"" follows the same formula that's presented to audiences in any typical Marvel film; with that said, ""Shang-Chi"" gives you exactly what you expect, for better or for worse. There are no tricks up this movie's sleeve - there are no surprises. This film delivers a standard, well-executed superhero film, and whether or not you enjoy that will be completely up to you.I, for one, am sick of the standard Marvel setup; I admit I have superhero fatigue, and unfortunately, ""Shang-Chi"" follows that typical superhero setup to a T - what that means is an extremely bland film both in character and plot, with only a few sparks of light along that tease a more compelling movie. The best parts of ""Shang-Chi"" involve Tony Chiu-Wai Leung; he plays a surprisingly complex and sympathetic villain and stars in some scenes that echoed the badassery of Asian gangster flicks. One scene where he takes out a room full of villains was so intense that I wish the movie would've followed that plot line instead of the subpar narrative we were left with. So, yes, Tony is great - everything else in ""Shang-Chi"" is mediocre, including the titular hero.Iron-Man. Spider-Man. Black Widow. The Hulk. Dr. Strange. These are all Marvel superheroes that you can immediately picture because of their distinctiveness as characters. Black Widow is the sexy, badass assassin. Spider-Man is the naive but pure hearted schoolboy. Iron-Man is the cocky billionaire. Shang-Chi? He's the, um, actually, who is he? That's exactly what you'll be asking yourself because Shang-Chi barely has a personality in this film - his character is so dull and forgettable. And me saying that is in no way a slight to Simu Liu, because he's fine in the role; it's the script that does him no favors. When it comes to other characters, Awkwafina was in this movie, and I honestly was excited to see her in this because of how good she was in ""The Farewell."" And wow, my excitement was led astray because she was about as fun and entertaining as a prostate exam. I mean, sweet Jesus, she was so grating that I considered stuffing popcorn into my ears so I didn't have to listen to her speak anymore. Her jokes weren't funny, her dialogue was awful (I'm sure most of it was improvised), and her character was just plain annoying.""Shang-Chi"" was also a very boring film, stuffed with poor dialogue and loads of exposition that had me nodding off in the theatre. A lot of lines were so cheesy, and so poorly delivered, that I found myself rolling my eyes. ""Shang-Chi"" also has the same amount of bland, uncreative editing and filming that is present in a lot of Marvel films - characters walk from room to room, and talk about this subject and that subject. It's not fun, it's not entertaining, and let's face it, it's horrendously boring. But okay, you're willing to look past that if the action is good, I get it! So how was the action?The first act of this movie does have two good action sequences, and you've seen them both in the trailer - the bus fight, and the scaffolding fight. I hope you're not that big a fan of Kung-Fu, because after those two fights, you will no longer get well-choreographed action and will instead be treated to horrific CGI battles. I'm talking ring-on-ring action and unnecessary giant monster fights that had no place or purpose in this movie. And it's all boring to watch. I mean, you have basically the first ever Kung-Fu superhero movie, and you decide to only include two scenes of Kung-Fu? What were the creators thinking?""Shang-Chi and the Legend of the Ten Rings"" was an exercise in disappointment. Instead of attempting to do something different, the film does exactly what you'd expect. And hey, if you love these kind of movies, you'll most likely love this film, and that's great - I hope you do. But if you're at all tired by the exact same formula that all superhero movies follow, ""Shang-Chi"" won't manage to lull you out of your superhero fatigue.",negative
96,"It's good action movie. Firstly, the scenario is pretty good, but it has nothing special, it's a little bit predictable. Secondly, the cast is awesome, I really like Akwafina in her role, she is very funny. Also I like Simu Lu as main character he is charismatic person. But my favourite is one character from past film of MCU (don't want to give spoiler). Thirdly, I like how the atmosphere of ancient Chinese culture was shown, but for me I want more. Fourthly, the fighting is good too.So, it's nice MCU film.",neutral
97,"Marvel has supplied their fans with a fast, fresh and funny superhero adventure with unconditionally perfect amounts of exhilarating action and fascinating characters. The enthusiasm noticeably kicks off with sustainable writing, in which an appealing plot is arranged and the excellent protagonists are propped. Secondly, director Destin Daniel Cretton recieves the role of brilliantly executing the visually-awakening tale.There's no doubt that the real magic belongs to the epic sequences of fantastical action. With stylish martial arts battles and superb effects, Shang-Chi's epic movie lives up to both the hype and its genre. However, there are some ridiculous and unnecessary details. It's also significant to announce the fact that the amount of action is perfect! There's not too much to the point where it's tedious and not too less to the point where all that can be remembered is the dialogue.Marvel flicks usually include several moments of bland dialogue between the superheroes. It occasionally grows fairly unexciting, but most of it is surprisingly gripping and the entertaining adventure rules over it. Alongside the massively-praised action is humour and heart-pumping credits scenes.If you liked this review, check out the full review and other reviews at aussieboyreviews.",neutral
98,"As with all Marvel movies, the ending tries so hard to be enormous that it becomes visually impossible to comprehend. I would like it if just one of these superhero movies had a character think and talk their way out of a threat to humanity. Nevertheless, this is one of the better attempts... Primarily because it is a well acted origin story with a minimal amount of heart and soul. Be thankful for small mercies!",positive
99,"Let me preface this by saying that my enjoyment of the movie may have been dampered by a poor night's sleep. That being said, the middle 45 minutes of this film had me nearly falling asleep, literally. The character development just couldn't hook me at all because it felt like they kept revisiting the same points.On a positive note, the visuals and martial arts are absolutely spectacular. The first act of the film contains most of the martial arts and it is so crisp and well-choreographed. The final act flexes all of the CGI dollas and they make they already big budget stretch far, with some of the more impressive sights you will see in a Marvel movie so far. This movie didn't quite hit the 8/10 for me to recommend people see it in theatres, but lets tack that up to me being tired and you go see it anyway!",negative
100,"Marvel has not done much good lately. 2 horrible TV shows, and 1 bad TV show. Not a single good movie since Captain Marvel, and nothing seemingly good coming over the horizon.To be honest I have started to give up. Marvel have produced magnificent movies and great entertainment for many years, but lately it is like that magic has come off and they seem much more run of the mill basic with that, by now, boring Marvel feel. Marvel has tried to introduce more political correctness, more feminism, and more nonsense diversity, and it has all failed.This movie however is not a failure.Why?This movie is simple, it is to the point, it follows tropes, cliches, and it is a classic heroes journey - which is exactly why it works!Marvel took a classical story we all heard, read and seen before but they switched a few things around, kept some of that Marvel feel, and made it play out mainly in China and almost only with Chinese actors. And it works!Imagine that? Sure you can find some political nonsense if you look hard enough, but who cares when you have great fight scenes, lovely sceneries, a great (but basic) story and brilliant well written characters.We even get a villain that you understand, sympathise with and even feel a sting of ""ah, too bad"" about him.This is how you make an action movie! Great stuff Marvel!The points I deduct is due to the movie not being that amazing. They pull the heroes journey of sure, but we have also seen it done better. Sound is great, but not amazing, directing is great, but not amazing, etc. Etc. Everything about this movie is high class, greatly done, and well performed, but it is not on top, it is not amazing nor perfect.I also have a few objections about the background story and the ending, but I am keeping this spoiler free so...8/10. This is a great movie and highly entertaining, and definitely worth the ticket price. Go see and get your faith in Marvel restored.",negative
101,"Let me commence by saying this movie is by far one of the most-fun, action packed Marvel movies ever!Simu Liu is the perfect Marvel protagonist, and Awkwafina delivers the obligatory yet welcomed dose of humor you'd come to expect from a Marvel presentation.But beyond that this movie is rich with mythology, adventure, and incredible martial arts combat that cannot be described with another phrase other than breathtaking, to be the introduction of a new character the story is well-written and you feel as if he had been with us from the start,I give this move the 10 it deserves, In Marvel We Trust.",neutral
102,"Ok, so I really liked it. In particular I really liked the characters. I loved the hero's journey that Shang Chi went on. I loved his relationship with Katy and his sister. They were all likable, and badass in their own way. And you could empathize with them. I thought this was a very strong villain. Not just physically, but very compelling. A lot of MCU villains can come across as very one note. But he was complex and layered. So that was great to see. And of course they were all strongly acted as well. Akwafina is maybe the least strongest out of the main cast (Check out The Farewell if you really want to see her shine) but like, she is still is good in this.I loved the fight choreography in this. Probably some of the best fight scenes you get in the MCU. And I loved the visuals used in those scenes as well. Some shots were truly stunning to watch.One downside I had though is that I wanted to know more about how the magic works. Like the final battle between Shang Chi and his father he has suddenly mastered his mother's magic/fighting. And I know the movie kind of pokes fun of this at the end by having Shang Chi tell his friends that he had 1 day of training. But seriously, how did that happen? Is it just because he's his mother's son? Is it because he was specifically in that place? I just needed a little more backstory/explanation. Also, the Wong/Abomination fight (which was totally spoiled in the trailers) didnt really do anything and just added more questions. I guess they needed a way to set up Wong for the mid credits scene though. And that mid credits scene in general just raised more questions for me. Like why is Bruce back to being in his human form? It clearly takes place after the events of Endgame (judging by his arm sling) so why is he not in his Professor Hulk form?I thought the comedy was good for the most part. I think it worked well with the beginning and ending of the film. But didnt always land during the more meatier parts of the film. Theres maybe a few other elements I could nitpick but for the most part I really liked this film. Im not sure where I would rank it yet. I think probably a top 10-er.",negative
103,"I'm not someone who is a fan of action movies. I'm really not. But even here, there's no denying the action sequences are brilliantly executed and have a lot more of a hit than most of the marvel movies out there.Although Simu Liu falters a little bit as a leading man, he has a truly impressive cast to support him. Awkwafina is brilliantly funny and quippy as she always is. And Tony Leung, the complex antagonist and the hero's father, has the most depth in this film.The visual effects are beyond beautiful. They reminded me of Ferngully, and the nature I observed as a child. Good stuff!There are some surprising cameos that are both hilarious and wholesome.It was so good to see it in Imax after such a long cinema hiatus. Definitely check this one out!",negative
104,"After a disappointing Marvel entry with Black Widow, Shang-Chi is the return to form movie Marvel needed to bounce back off on. With solid performances, great setpieces, fun action sequences, and some emotional depth and humour to it, it's the type of film you need to see on the big screen and just go along with the journey and fantastical elements. It's also paced well and intriguing for the runtime it has.The direction is solid and the characters get a good amount of screen time each to develop and have well placed flashback sequences. The martial arts fights are pretty well done and the CGI creatures look interesting with their designs and have good special effects. Overall, it's very well done and I didn't think Marvel could keep going, but they proved they can still make great stuff when they care about it.8/10.",positive
105,"The much-awaited Shangi Chi and the Legend of the Ten Rings released today in theatres. It follows the journey of Shang Chi (Simu Liu), the son of the famed MCU villain the Mandarin, who revolts against his father to fight evil.The first stand-alone film featuring an Asian American superhero, Shang Chi understandably stands out with its close combat sequences. All the actors and especially Simu Liu have undergone extensive martial arts training and it shows, with a sensational sequence on a moving bus in San Francisco and another on a bamboo scaffolding in Macau, the standouts.Awkwafina and a surprise returning character from the MCU provide genuine, sarcasm-laced comedy that adds another wonderful layer to the experience. Cameos from Benedict Wong and Ronnie Chieng also manage to leave the audience in spits.Without stooping to cultural appropriation, with an all-Asian crew, director Destin Daniel Cretton pays rich tribute to Chinese heritage at every turn. Hong Kong's superstars Tony Leung and Michelle Yeoh are electric in their roles and the fact that they don't seem to have lost a step with age, acing their action sequences, shows their dedication as performers.Regarded as one of the finest actor's Chinese cinema has every produced, Tony Leung stamps his class all over the film, giving an engrossing, captivating performance as the dreaded leader of the Ten Rings.His inner moral dilemmas and love/hate relationship with his children are portrayed brilliantly by the man nicknamed 'Small Tiger' among the Five Tiger Generals of Hong Kong CinemaThe flashback sequences help to build up Shang Chi as a character and intricately captures his upbringing as the heir-apparent to a genocidal megalomaniac, and how despite wanting nothing to do with his father's murderous tendencies, as his son, he is inadvertently drawn to the Mandarin's world of violence and carnage.The films delves into mystical elements towards the climax and with two surprise-laden post-credit sequences tie into both Doctor Strange's world of Mystic Arts as well as a possible connection that the Ten Rings has to alien technology.As always, the way weaves in each individual fim character to the wonderful tapestry that makes up each of its Phases is a joy in itself.It is due to the well-written characters and the nuanced acting of its performers that Shang Chi stands out while the eye-catching CGI and elaborately chorographer action sequences add more gloss to the end product.Another wonderful new addition to the MCU world and hopefully this paves the way for more ethnicities being represented in the universe as time goes on.Highly recommended. A must watch. Marvel's Phase 4 continues to raise the bar!",positive
106,"Like many, I was concerned that this new Marvel Cinematic Universe saga would have trouble living up to previous standards but Shang-Chi has already left me hopeful for the series' future. I literally know nothing about this character but I found his film debut to be a solid superhero adventure; well acted, effectively character-driven, occasionally funny, rich with cultural representation and booming with swift and stylized martial arts action. It has what I hoped I was going to get from Black Panther: inclusivity AND an interesting world and narrative. I'm 100% all for representation but the story and characters must be pronounced, too and I just found this entry to be a lot more distinguished and captivating.Although Shang-Chi treads the familiar origin story formula, there's a few fresh twists and turns that uniquely sets this character's journey apart from the others. Though the first half is decently entertaining with some identifiable drama and fast-paced yet slightly derivative set-pieces in urban environments, the second half is where the film really turns on (at least for me). The Chinese philosophy kicks in, the mythology is abundant, there's tons of visually striking imagery, a fantastical setting, loads of insane action choreography. The Asian representation is just off the chain and I was so enraptured by it. It doesn't feel contrived, I sensed a great deal of respect for it and all the while an engaging story was unfolding. A nice balance. I was very satisfied with what I saw. I'm really looking forward to seeing more of Shang-Chi's world and how it'll tie in with other stories yet-to-come. Very cool movie. Soulful, cultural and action-packed.",negative
